ticket_id,account_id,account_name,subject,category,priority,status,created_at,resolved_at,csat_score,agent_name,escalated,tags
TKT-00001,ACC-00085,Forge Ind.,Date picker shows wrong timezone,Bug,High,pending,2024-04-01T00:04:04Z,,,Casey Wu,false,"bug|search"
TKT-00002,ACC-00068,Pacific Health,Want ability to duplicate projects,Feature Request,Low,pending,2024-04-01T05:16:37Z,,,Morgan Kim,false,"feature|reporting"
TKT-00003,ACC-00084,TRUSTBANK DIGITAL,OAuth token refresh not working,Integration,Medium,resolved,2024-04-01T08:47:36Z,2024-04-02T20:47:36Z,5,Alex Rivera,false,"integration|api|new-customer"
TKT-00004,ACC-00102,BAZAARTECH,Mobile view layout issues,Bug,Low,resolved,2024-04-01T09:41:22Z,2024-04-02T03:41:22Z,4,Taylor Chen,false,"bug|login"
TKT-00005,ACC-00109,EduNova Group,Best practices for our use case,Onboarding,Medium,resolved,2024-04-01T10:28:37Z,2024-04-01T15:28:37Z,2,Alex Rivera,false,"onboarding|migration|enterprise"
TKT-00006,ACC-00079,Moneta,Need audit log improvements,Feature Request,Low,open,2024-04-01T14:09:46Z,,,Alex Rivera,false,"feature|api"
TKT-00007,ACC-00061,CarePath,Help configuring SSO for first time,Onboarding,Medium,resolved,2024-04-01T17:00:10Z,2024-04-02T08:00:10Z,,Taylor Chen,false,"onboarding|migration|new-customer"
TKT-00008,ACC-00023,NEBULA SYSTEMS,Question about prorated charges,Billing,High,resolved,2024-04-01T19:12:25Z,2024-04-02T01:12:25Z,2,Casey Wu,false,"billing|cancellation"
TKT-00009,ACC-00032,ARCUS TECHNOLOGIES,Want ability to duplicate projects,Feature Request,Medium,pending,2024-04-01T20:32:18Z,,,Taylor Chen,false,"feature|branding"
TKT-00010,ACC-00095,Urban Mart Inc.,SSO certificate renewal help,Security,Medium,resolved,2024-04-02T01:49:51Z,2024-04-03T13:49:51Z,1,Jordan Lee,false,"security|sso"
TKT-00011,ACC-00048,Cloud Vista Inc.,User permissions not applying correctly,Bug,Critical,pending,2024-04-02T06:57:26Z,,,Taylor Chen,false,"bug|charts|enterprise"
TKT-00012,ACC-00081,PACIFIC WEALTH,Data migration from competitor product,Onboarding,Medium,open,2024-04-02T08:22:47Z,,,Morgan Kim,false,"onboarding|slow"
TKT-00013,ACC-00037,PIXELWAVE,Concurrent user performance degradation,Performance,Low,resolved,2024-04-02T11:51:45Z,2024-04-03T08:51:45Z,2,Taylor Chen,false,"performance|slow"
TKT-00014,ACC-00105,EDUPATH,User permissions not applying correctly,Bug,Medium,resolved,2024-04-02T13:10:07Z,2024-04-02T20:10:07Z,3,Alex Rivera,false,"bug|charts|follow-up"
