opportunity_id,account_id,account_name,opportunity_name,stage,amount,currency,close_date,created_date,days_in_stage,deal_type,contract_term_months,owner_name,last_activity_date,probability,next_step,partner_id
OPP-00001,ACC-00001,Quantum Dynamics Inc.,Quantum Dynamics Inc. - Suite 2yr Deal,Closed Won,348000,USD,2024-04-03,2023-12-07,9,New Business,24,Sarah Chen,2024-04-03,100,,
OPP-00002,ACC-00002,Meridian Health,Meridian Health - Platform 2yr Deal,Closed Won,102000,USD,2024-11-26,2023-10-12,18,New Business,24,Emma Thompson,2024-11-26,100,,
OPP-00003,ACC-00003,Atlas Logistics,Atlas Logistics - Platform 3yr Deal,Closed Won,171000,USD,2024-12-29,2024-07-14,22,New Business,36,Emma Thompson,2024-12-29,100,,
OPP-00004,ACC-00004,Novatech,Novatech - Platform 3yr Deal,Closed Won,393000,USD,2024-08-30,2024-04-06,8,New Business,36,Emma Thompson,2024-08-30,100,,
OPP-00005,ACC-00005,Lumin Digital,Lumin Digital - Suite 3yr Deal,Closed Won,576000,USD,2024-10-28,2024-03-11,29,New Business,36,Emma Thompson,2024-10-28,100,,
OPP-00006,ACC-00006,Clearview Analytics Inc.,Clearview Analytics Inc. - Suite 2yr Deal,Closed Won,306000,USD,2025-01-07,2024-07-13,23,New Business,24,James Park,2025-01-07,100,,
OPP-00007,ACC-00007,Prism Software Solutions,Prism Software Solutions - Platform 2yr Deal,Closed Won,282000,USD,2024-12-10,2024-05-12,6,New Business,24,Sarah Chen,2024-12-10,100,,
OPP-00008,ACC-00008,Summit Financial Group,Summit Financial Group - Suite 3yr Deal,Closed Won,348000,USD,2024-12-15,2024-07-20,14,New Business,36,Lisa Wang,2024-12-15,100,,
OPP-00009,ACC-00009,Horizon Media Partners,Horizon Media Partners - Suite 3yr Deal,Closed Won,186000,USD,2024-10-05,2023-08-13,20,New Business,36,James Park,2024-10-05,100,,
OPP-00010,ACC-00010,Vertex Engineering Ltd.,Vertex Engineering Ltd. - Suite 2yr Deal,Closed Won,252000,USD,2024-11-01,2024-06-03,12,Expansion,24,David Kim,2024-11-01,100,,
OPP-00011,ACC-00011,Stratos Cloud Services,Stratos Cloud Services - Enterprise 2yr Deal,Closed Won,226000,USD,2025-01-30,2023-11-28,19,Expansion,24,Sarah Chen,2025-01-30,100,,
OPP-00012,ACC-00012,Pinnacle Retail Group,Pinnacle Retail Group - Platform 2yr Deal,Closed Won,242000,USD,2024-10-08,2024-06-22,29,New Business,24,Emma Thompson,2024-10-08,100,,
OPP-00013,ACC-00013,Catalyst Innovation Labs,Catalyst Innovation Labs - Platform 3yr Deal,Closed Won,555000,USD,2025-02-21,2024-03-26,17,Expansion,36,Emma Thompson,2025-02-21,100,,
OPP-00014,ACC-00014,Redwood Mfg Corp,Redwood Mfg Corp - Enterprise 2yr Deal,Closed Won,216000,USD,2024-10-22,2024-01-29,13,New Business,24,Emma Thompson,2024-10-22,100,,
