account_id,account_name,parent_account_id,industry,employee_count,region,website,created_date,account_owner,account_status,subscription_type,annual_contract_value
ACC-00001,Quantum Dynamics Inc.,,Technology,450,North America,quantumdynamics.com,2022-11-10,Sarah Chen,Active,hybrid,7188
ACC-00002,Meridian Health,,Healthcare,1200,North America,meridianhealthsystems.com,2022-08-03,James Park,Active,flat-rate,1020000
ACC-00003,Atlas Logistics,,Logistics,340,Europe,atlaslogisticsgroup.com,2023-01-20,Sarah Chen,Active,seat-based,2148
ACC-00004,Novatech,,Technology,280,Europe,novatechgmbh.com,2023-05-09,Mike Rodriguez,Active,flat-rate,8388
ACC-00005,Lumin Digital,,Technology,190,Europe,lumindigitalag.com,2023-06-05,James Park,Active,seat-based,9937
ACC-00006,Clearview Analytics Inc.,,Technology,520,North America,clearviewanalytics.com,2022-09-08,David Kim,Active,seat-based,62400
ACC-00007,Prism Software Solutions,,Technology,85,North America,prismsoftware.com,2023-05-03,Emma Thompson,Active,flat-rate,1788
ACC-00008,Summit Financial Group,,Financial Services,890,North America,summitfinancial.com,2022-10-16,Sarah Chen,Active,usage-based,144000
ACC-00009,Horizon Media Partners,,Media,310,North America,horizonmedia.com,2023-01-28,Lisa Wang,Active,flat-rate,5988
ACC-00010,Vertex Engineering Ltd.,,Manufacturing,670,Europe,vertexengineering.com,2022-08-14,Mike Rodriguez,Active,hybrid,90000
ACC-00011,Stratos Cloud Services,,Technology,150,North America,stratoscloud.com,2023-02-28,Mike Rodriguez,Active,flat-rate,2148
ACC-00012,Pinnacle Retail Group,,Retail,420,North America,pinnacleretail.com,2022-12-29,Lisa Wang,Active,seat-based,7188
ACC-00013,Catalyst Innovation Labs,,Technology,95,APAC,catalystinnovation.com,2023-06-19,James Park,Active,flat-rate,2227
ACC-00014,Redwood Mfg Corp,,Manufacturing,780,North America,redwoodmanufacturing.com,2022-06-02,Sarah Chen,Active,flat-rate,1104000
ACC-00023,Nebula Systems Inc.,,Technology,324,North America,nebulasystems.com,2024-07-15,David Kim,Active,flat-rate,7596
ACC-00024,Ironclad Sec,,Technology,29,North America,ironcladsecurity.com,2023-01-24,James Park,Active,flat-rate,744
ACC-00025,ByteForge Inc.,,Technology,2573,North America,byteforge.com,2023-02-19,Emma Thompson,Churned,flat-rate,160896
ACC-00026,Datastream,,Technology,253,North America,datastreamai.com,2022-12-16,David Kim,Active,seat-based,7188
ACC-00027,CloudPeak,,Technology,405,North America,cloudpeaksoftware.com,2022-05-27,James Park,Active,flat-rate,71160
ACC-00028,Silverline Technology,,Technology,125,North America,silverlinetech.com,2023-11-05,Emma Thompson,Active,flat-rate,6060
ACC-00029,Nextera,,Technology,7,North America,nexteradigital.com,2022-12-11,Lisa Wang,Active,hybrid,780
ACC-00030,CoreStack,,Technology,34,North America,corestacksolutions.com,2022-12-04,Mike Rodriguez,Churned,usage-based,2292
ACC-00031,Pulse Analytics Inc.,,Technology,168,North America,pulseanalytics.com,2023-03-31,Emma Thompson,Active,flat-rate,1511
ACC-00032,Arcus Tech,,Technology,7,North America,arcustechnologies.com,2023-12-01,Sarah Chen,Active,seat-based,73
ACC-00033,TerraForm,,Technology,34,North America,terraformlabs.com,2022-11-27,Emma Thompson,Active,usage-based,6600
ACC-00034,Vanta,,Technology,530,North America,vantasoftware.com,2023-08-29,David Kim,Active,seat-based,6480
ACC-00035,Codex,,Technology,18,Europe,codexdigital.com,2022-08-01,Mike Rodriguez,Churned,seat-based,744
ACC-00036,Synthetix,,Technology,447,Europe,synthetixgmbh.com,2024-08-27,Emma Thompson,Active,hybrid,6192
ACC-00037,PixelWave Studios,,Technology,2383,Europe,pixelwave.com,2024-10-08,Lisa Wang,Active,usage-based,26568
ACC-00038,Alpine Data,,Technology,5,Europe,alpinedataag.com,2023-06-03,Lisa Wang,Active,flat-rate,708
ACC-00039,Orbis Technology,,Technology,550,Europe,orbistech.com,2022-07-09,David Kim,Active,seat-based,772
