payment_id,customer_id,customer_name,amount,currency,status,payment_date,subscription_id,description,failure_code,refund_id,dispute_id
pi_fcbe3ba458a4d7,cus_45828f9300ba1f,Quantum Dynamics Inc.,63,USD,succeeded,2023-07-01,sub_995cb41c3d,Monthly subscription - Starter Plan,,,
pi_45c89fd8ca156a,cus_fc7cb515172c3f,Horizon Media Partners,68,USD,failed,2023-07-01,sub_af2e369163,Monthly subscription - Starter Plan,card_declined,,
pi_9ace0ea4b7c1fb,cus_92e54220d7077f,Pinnacle Retail Group,60,USD,succeeded,2023-07-01,sub_8778752b97,Monthly subscription - Starter Plan,,,
pi_9ef868d58fb811,cus_da69f8f2ac6cd5,Datastream,66,USD,succeeded,2023-07-01,sub_082927fb5e,Monthly subscription - Starter Plan,,,dp_e0a80
pi_17ec4e312433ee,cus_28d165c6bb7575,CoreStack,62,USD,failed,2023-07-01,sub_7e69aa118c,Monthly subscription - Starter Plan,insufficient_funds,,
pi_fe8346c1351cd8,cus_1fce00a7160523,TerraForm,50,USD,succeeded,2023-07-01,sub_5835f65a6f,Monthly subscription - Starter Plan,,,
pi_bf084e74a609f8,cus_549285f1446fff,Cirrus Logic,68,USD,failed,2023-07-01,sub_514ae80358,Monthly subscription - Starter Plan,insufficient_funds,,
pi_b694aafbcf9eb7,cus_3fdcf6b3bb3868,Precision Dynamics Corp,68,USD,succeeded,2023-07-01,sub_928cb3fcc0,Monthly subscription - Starter Plan,,,
pi_b0fb7d24f6df96,cus_61339e5e193c12,Novatech,61,USD,succeeded,2023-07-02,sub_5b2bbb711f,Monthly subscription - Starter Plan,,,
pi_b4587fec71ae49,cus_675db60f9af48a,Prism Software Solutions,51,USD,succeeded,2023-07-02,sub_9b1aca151b,Monthly subscription - Starter Plan,,,
pi_67d9476a42cebc,cus_7c6020d8856b60,Summit Financial Group,54,USD,succeeded,2023-07-02,sub_91118757bc,Monthly subscription - Starter Plan,,,
pi_412f5cc1641864,cus_2121d650de2061,Stratos Cloud Services,66,USD,succeeded,2023-07-02,sub_7af8bfbb0a,Monthly subscription - Starter Plan,,,
pi_6c422e7975c2d9,cus_20a9a2d72c1646,Redwood Mfg Corp,67,USD,succeeded,2023-07-02,sub_e620412cfa,Monthly subscription - Starter Plan,,,
pi_e14544fa97be9f,cus_8e93322e1dfccd,Vitality Health,58,USD,succeeded,2023-07-02,sub_ffa4dfa4d8,Monthly subscription - Starter Plan,,,
pi_b6be6dd7a550f6,cus_2546a13062823d,MedBridge,66,AUD,succeeded,2023-07-02,sub_e3d9a890b3,Monthly subscription - Starter Plan,,,
pi_acb1076bdffac7,cus_4e95c3eae9443f,Pacific Wealth Partners,66,AUD,succeeded,2023-07-02,sub_369efcca5c,Monthly subscription - Starter Plan,,,
pi_eefa564451158d,cus_085ba87bc5cb47,Titan Mfg,58,USD,succeeded,2023-07-02,sub_39c2e6dbd6,Monthly subscription - Starter Plan,,,
pi_57e3454f5b5b13,cus_54403fe2e35a9c,Renewable Dyn.,60,USD,succeeded,2023-07-02,sub_a6d0056d24,Monthly subscription - Starter Plan,,,
pi_48e27488a916a0,cus_549285f1446fff,Cirrus Logic,68,USD,succeeded,2023-07-02,sub_514ae80358,Monthly subscription - Starter Plan,,,
pi_078277fa25aaed,cus_28d165c6bb7575,CoreStack,62,USD,succeeded,2023-07-02,sub_7e69aa118c,Monthly subscription - Starter Plan,,,
pi_05aef8514d24d3,cus_656d3329f31406,Clearview Analytics Inc.,63,USD,succeeded,2023-07-03,sub_cd0cf8da28,Monthly subscription - Starter Plan,,,
pi_3cce046f35d140,cus_fa516f48fe8eac,CloudPeak,58,USD,refunded,2023-07-03,sub_16b99e0951,Monthly subscription - Starter Plan,,,
pi_215115f9cfd3fe,cus_ef28b4e49fb1c9,Forge Ind.,68,USD,succeeded,2023-07-03,sub_6c7e49c596,Monthly subscription - Starter Plan,,,
pi_135ffa3f0398b1,cus_d228bb47ea4295,Lumina,60,USD,succeeded,2023-07-03,sub_01cc29df09,Monthly subscription - Starter Plan,,,
pi_48736dee9ea7fa,cus_ac3f0bdf7f4f53,Solaris,51,USD,succeeded,2023-07-03,sub_8c6ddc6466,Monthly subscription - Starter Plan,,,
pi_2170b5bff021e3,cus_b7b9e7fc99ae5a,Vanguard,68,USD,succeeded,2023-07-03,sub_5de6d7f0b9,Monthly subscription - Starter Plan,,,
pi_6b3277f9f4782b,cus_ca46d5c407c864,Codex,66,USD,succeeded,2023-07-04,sub_d3d6ccf329,Monthly subscription - Starter Plan,,,
pi_7011171931c286,cus_49f892848d5506,Alpine Data,53,USD,succeeded,2023-07-04,sub_1df0c5b2ab,Monthly subscription - Starter Plan,,,
pi_4436220803dcdb,cus_b62736a32e44c9,DragonCloud,60,AUD,succeeded,2023-07-04,sub_08673992b8,Monthly subscription - Starter Plan,,,
pi_cfe7a03e1d75ad,cus_7fb8d86cdb7ad4,Sapient,66,USD,succeeded,2023-07-04,sub_392d0da389,Monthly subscription - Starter Plan,,,
pi_5f831584837a03,cus_3c018223c50af7,TrueHealth,60,USD,succeeded,2023-07-04,sub_f4ee1e5c39,Monthly subscription - Starter Plan,,,
pi_3fe4eaddad49a0,cus_af6f3ae811966c,Moneta,49,USD,succeeded,2023-07-04,sub_b7dee5269c,Monthly subscription - Starter Plan,,,
pi_473b4c775d1364,cus_c34f1493b1fb89,Steelbridge,65,USD,succeeded,2023-07-04,sub_e9a23b0810,Monthly subscription - Starter Plan,,,
pi_dc79cc3794c421,cus_fa516f48fe8eac,CloudPeak,-58,USD,refunded,2023-07-04,sub_16b99e0951,Refund for pi_3cce046f35d140,,re_69cb2fbc7e,
pi_3c725cc4408862,cus_8493bd819465d4,Meridian Health,66,USD,succeeded,2023-07-05,sub_325dd6bd3a,Monthly subscription - Starter Plan,,,
pi_acf7e89ec60490,cus_a816a82c8aae85,Vertex Engineering Ltd.,54,USD,succeeded,2023-07-05,sub_efa3859148,Monthly subscription - Starter Plan,,,
pi_c3857cad3f323d,cus_486ef83cac3666,Orbis Technology,68,USD,succeeded,2023-07-05,sub_f8c19d5820,Monthly subscription - Starter Plan,,,
pi_037449809713bf,cus_03177a5b150677,Helix,49,USD,failed,2023-07-05,sub_daaf6f92c1,Monthly subscription - Starter Plan,card_declined,,
pi_735809d8ba1755,cus_d9fbf396c0c3d6,BioSync,52,USD,succeeded,2023-07-05,sub_6f2a477bb0,Monthly subscription - Starter Plan,,,
pi_991b0049d5f299,cus_d23233d42ad301,Kanto Mfg,66,JPY,succeeded,2023-07-05,sub_8c4c809c3a,Monthly subscription - Starter Plan,,,
pi_687896ad528d8c,cus_3c543e2cfb5971,EduNova Group,55,USD,succeeded,2023-07-05,sub_c23a9bafb0,Monthly subscription - Starter Plan,,,
pi_aaa33d725caeff,cus_fc7cb515172c3f,Horizon Media Partners,68,USD,succeeded,2023-07-05,sub_af2e369163,Monthly subscription - Starter Plan,,,
pi_b875728361cfcb,cus_03177a5b150677,Helix,49,USD,succeeded,2023-07-10,sub_daaf6f92c1,Monthly subscription - Starter Plan,,,
pi_ec73213e25645e,cus_2546a13062823d,MedBridge,66,AUD,refunded,2023-07-14,sub_e3d9a890b3,Refund for payment pi_b6be6dd7a550f6,,re_261720367a,
pi_e7719d28bacbdc,cus_b62736a32e44c9,DragonCloud,60,AUD,refunded,2023-07-24,sub_08673992b8,Refund for payment pi_4436220803dcdb,,re_98b51f653c,
pi_c3026534680b2c,cus_92e54220d7077f,Pinnacle Retail Group,60,USD,refunded,2023-07-24,sub_8778752b97,Refund for payment pi_9ace0ea4b7c1fb,,re_62b9e27f64,
pi_c386fb7bdba100,cus_0c2c7b64957917,Verdant Sys,57,USD,succeeded,2023-08-01,sub_f4dc3e34f6,Monthly subscription - Starter Plan,,,
pi_5f41768b90350a,cus_e0e16b0264d295,Pacific Health,53,JPY,succeeded,2023-08-01,sub_112236cdfd,Monthly subscription - Starter Plan,,,
pi_1d8a5e8f994c94,cus_af6f3ae811966c,Moneta,49,USD,succeeded,2023-08-01,sub_b7dee5269c,Monthly subscription - Starter Plan,,,
